alpha,seed,runtime_sec,mechanism,mechanism_tag,c_upd,z_cut,depr_lambda,depr_nu,depr_psi,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_dbar_post_mean,eval_occupied_post_mean,eval_episodes_per_env,eval_t_eval,final_energy_E_post,final_update_counter,final_funding_g,final_funding_g_raw,final_funding_alpha_eff,final_depr_F_post,final_episode_return_end_mean,final_vartd_VarTD
0.067,40,10.850857162033208,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,100.0,-23.34726333618164,26.0,0.0,0.5086134672164917,0.28999999165534973,4.0,104.0,0.08736257255077362,10.0,0.11989735066890717,0.11989735066890717,0.06700000166893005,0.0,-25.977659225463867,0.14821402728557587
0.067,41,10.871872878982686,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,100.0,-23.82110023498535,26.0,0.0,0.4754997491836548,0.44999998807907104,4.0,104.0,0.21753695607185364,13.0,0.11638908833265305,0.11638908833265305,0.06700000166893005,0.0,-26.25322914123535,0.23556603491306305
0.067,42,10.867329163011163,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,100.0,-23.32689666748047,26.0,0.009999999776482582,0.4846287965774536,0.44999998807907104,4.0,104.0,0.30858278274536133,12.0,0.12924812734127045,0.12924812734127045,0.06700000166893005,0.0,-26.16256332397461,0.16836439073085785
0.067,43,10.864893952035345,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,100.0,-24.481801986694336,26.0,0.0,0.6138380765914917,0.3700000047683716,4.0,104.0,0.03012755513191223,5.0,0.10980984568595886,0.10980984568595886,0.06700000166893005,0.0,-25.95228385925293,0.1361691802740097
0.067,44,10.869103532051668,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,100.0,-24.264169692993164,26.0,0.0,0.5236417651176453,0.3100000023841858,4.0,104.0,0.4680898189544678,14.0,0.14203548431396484,0.14203548431396484,0.06700000166893005,0.0,-24.590747833251953,0.24475695192813873
0.067,45,10.880072426982224,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,100.0,-23.255937576293945,26.0,0.0,0.4873839020729065,0.3799999952316284,4.0,104.0,0.23455004394054413,17.0,0.16554416716098785,0.16554416716098785,0.06700000166893005,0.0,-24.152803421020508,0.42877665162086487
0.067,46,10.862339604995213,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,100.0,-24.87218475341797,26.0,0.019999999552965164,0.5231881141662598,0.429999977350235,4.0,104.0,0.4966278076171875,16.0,0.15104283392429352,0.15104283392429352,0.06700000166893005,0.0,-24.952978134155273,0.35635945200920105
0.067,47,10.888846302055754,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,100.0,-23.303741455078125,26.0,0.0,0.4787892699241638,0.5600000023841858,4.0,104.0,0.5028992891311646,14.0,0.13096201419830322,0.13096201419830322,0.06700000166893005,0.0,-26.433528900146484,0.25439882278442383
0.067,48,10.851838447968476,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,100.0,-24.05375862121582,26.0,0.0,0.4936518669128418,0.38999998569488525,4.0,104.0,0.5153388977050781,13.0,0.12896384298801422,0.12896384298801422,0.06700000166893005,0.0,-25.16249656677246,0.21558959782123566
0.067,49,10.880939399939962,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,100.0,-22.86003875732422,26.0,0.009999999776482582,0.4936654567718506,0.38999998569488525,4.0,104.0,0.337986022233963,14.0,0.140424445271492,0.140424445271492,0.06700000166893005,0.0,-24.548030853271484,0.25437691807746887
