n_seeds,late_window_updates,rho_mean,rho_sd,p_active_mean,p_active_sd,p_sustained_mean,p_sustained_sd,p_bursty_mean,p_bursty_sd,late_update_count_mean,late_update_count_sd,active_blocks_mean,active_blocks_sd,chi_rho,eval_return_end_mean_mean,eval_return_end_mean_sd,eval_CSR_post_mean,eval_CSR_post_sd,eval_dbar_post_mean_mean,eval_dbar_post_mean_sd,final_update_counter_mean,final_update_counter_sd,final_energy_E_post_mean,final_energy_E_post_sd,final_depr_F_post_mean,final_depr_F_post_sd,final_vartd_VarTD_mean,final_vartd_VarTD_sd,alpha,family,mechanism,mechanism_tag,c_upd,z_cut,depr_lambda,depr_nu,depr_psi,support_mode,support_total,support_start_update,support_window_frac,borrow_limit,borrow_interest,total_timesteps
12,313,0.030883919062832794,0.002487217073998476,1.0,0.0,1.0,0.0,0.0,0.0,9.666666666666666,0.7784989441615231,4.0,0.0,6.1862487731895405e-06,-23.414504686991375,0.6915955673703701,0.005833333202948173,0.009962048976287068,0.49327202886343,0.020558454254238582,32.416666666666664,2.810963384947437,-0.39893529439965886,0.13141479698631506,0.0,0.0,2.324073612689972,0.4886463567427056,0.108,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.033013844515441954,0.0015730541978189487,1.0,0.0,1.0,0.0,0.0,0.0,10.333333333333334,0.49236596391733095,4.0,0.0,2.474499509275816e-06,-23.419457753499348,0.5205696947426083,0.0033333332588275275,0.008876253447586217,0.49463362991809845,0.017112941488517445,34.75,1.815338686155987,-0.30399131402373314,0.1375370040778293,0.0,0.0,2.7488292455673218,0.3591787364302277,0.114,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.035143769968051124,0.0013623048968409612,1.0,0.0,1.0,0.0,0.0,0.0,11.0,0.4264014327112209,4.0,0.0,1.8558746319568619e-06,-23.610926628112793,0.5298387479306574,0.004999999888241291,0.009045340135153797,0.4902438794573148,0.01587161893450365,37.333333333333336,1.6143297699232972,-0.33265834612150985,0.1685368236505343,0.0,0.0,3.1961057583491006,0.31820285168046625,0.12,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.036741214057507986,0.00215399317080908,1.0,0.0,1.0,0.0,0.0,0.0,11.5,0.674199862463242,4.0,0.0,4.639686579892155e-06,-23.376920859018963,0.6699084169754101,0.0033333332588275275,0.00492365952912094,0.4852622052033742,0.01581302994664083,39.583333333333336,1.880924981991251,-0.21535938854018846,0.15896787510586158,0.0,0.0,3.5906235376993814,0.3300696629108105,0.126,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.039403620873269436,0.0020809551031275705,1.0,0.0,1.0,0.0,0.0,0.0,12.333333333333334,0.6513389472789296,4.0,0.0,4.330374141232678e-06,-23.402332146962483,0.6480202666469566,0.004999999888241291,0.0067419984739370085,0.488632932305336,0.019447475092457027,42.25,1.815338686155987,-0.3172612252334754,0.15510428107210272,0.0,0.0,4.015848875045776,0.26640152188438604,0.132,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.0410010649627263,0.0018445695501265996,1.0,0.0,1.0,0.0,0.0,0.0,12.833333333333334,0.5773502691896258,4.0,0.0,3.402436825254246e-06,-23.4463791847229,0.5123363104055481,0.0041666665735344095,0.00792961443374689,0.4882771025101344,0.023689477004802766,44.083333333333336,2.6097137890209456,-0.2153481263667345,0.13480973254651393,0.0,0.0,4.349054396152496,0.4073202516840665,0.138,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.042598509052183174,0.0020809551031275705,1.0,0.0,1.0,0.0,0.0,0.0,13.333333333333334,0.6513389472789296,4.0,0.0,4.330374141232678e-06,-23.176074822743733,0.7665965984862687,0.007499999832361937,0.006215815466146305,0.48702450344959897,0.018532162280215984,45.75,2.378884383296277,-0.21992886175091067,0.16741394098895057,0.0,0.0,4.573607325553894,0.29369664107861737,0.144,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.04579339723109691,0.0020809551031275705,1.0,0.0,1.0,0.0,0.0,0.0,14.333333333333334,0.6513389472789296,4.0,0.0,4.330374141232678e-06,-23.241120497385662,0.9117656219487729,0.005833333202948173,0.007929614433746892,0.48218082388242084,0.018775901618593688,48.666666666666664,3.0846639225613406,-0.2905983398668468,0.19822775169082793,0.0,0.0,4.826897621154785,0.26978156994992675,0.15,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.04685835995740149,0.0015730541978189485,1.0,0.0,1.0,0.0,0.0,0.0,14.666666666666666,0.49236596391733095,4.0,0.0,2.4744995092758155e-06,-22.928149382273357,0.917389456170118,0.005833333202948173,0.007929614433746892,0.4889901081720988,0.022541499212739253,50.25,2.8324419275118906,-0.3141370251153906,0.14005577994004467,0.0,0.0,5.1316633224487305,0.22095790202132054,0.156,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.048722044728434506,0.001985883579897959,1.0,0.0,1.0,0.0,0.0,0.0,15.25,0.621581560508061,4.0,0.0,3.943733592908333e-06,-22.858158270517986,0.5752883842365722,0.0033333332588275275,0.006513389327203697,0.4848606164256732,0.016426585099070697,52.166666666666664,2.2495790852081776,-0.31784078540901345,0.18240556398304722,0.0,0.0,5.307479699452718,0.23874480517233893,0.162,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.050053248136315225,0.0015730541978189485,1.0,0.0,1.0,0.0,0.0,0.0,15.666666666666666,0.49236596391733095,4.0,0.0,2.4744995092758155e-06,-22.883561611175537,0.4239344853829153,0.004999999888241291,0.0067419984739370085,0.49229054898023605,0.02384524415307942,54.583333333333336,1.729862492345632,-0.20559535113473734,0.15513850027038595,0.0,0.0,5.33222222328186,0.1828072588153834,0.168,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.05244941427050053,0.0016451394586084254,1.0,0.0,1.0,0.0,0.0,0.0,16.416666666666668,0.5149286505444373,4.0,0.0,2.706483838270423e-06,-22.577502091725666,1.0284641549710127,0.0033333332588275275,0.004923659529120939,0.5061176543434461,0.04050137000460089,57.083333333333336,2.2343733444579583,-0.26644441423316795,0.175049535563144,0.0,0.0,5.410879532496135,0.2042551442420873,0.174,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.0540468583599574,0.0025334231983985913,1.0,0.0,1.0,0.0,0.0,0.0,16.916666666666668,0.7929614610987591,4.0,0.0,6.418233102184147e-06,-22.791735013326008,1.147909731706413,0.0041666665735344095,0.006685579084780874,0.49537857125202817,0.03818366451711776,59.583333333333336,2.6784776318353725,-0.14779788612698516,0.17162082921801655,0.0,0.0,5.422042012214661,0.22569376310499115,0.18,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.05830670926517573,0.0027668543251898993,1.0,0.0,1.0,0.0,0.0,0.0,18.25,0.8660254037844386,4.0,0.0,7.655482856822053e-06,-22.62571636835734,0.937222540157349,0.0041666665735344095,0.006685579084780874,0.49360257635513943,0.03513379347355745,64.5,2.7797972457128464,-0.34042430265496176,0.17379698837199187,0.0,0.0,5.5298149188359575,0.20921284439665616,0.192,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.062300319488817896,0.0028898850917996512,1.0,0.0,1.0,0.0,0.0,0.0,19.5,0.9045340337332909,4.0,0.0,8.351435843805879e-06,-22.42624584833781,0.8615389022542953,0.005833333202948173,0.006685579084780875,0.5028043240308762,0.03804259367402973,68.5,3.919647479510927,-0.2629546597599983,0.0995804466990927,0.0,0.0,5.607632637023926,0.2582277093829071,0.204,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.0665601703940362,0.0026672431627371308,1.0,0.0,1.0,0.0,0.0,0.0,20.833333333333332,0.834847109936722,4.0,0.0,7.114186089167971e-06,-22.67590602238973,0.6083053126325172,0.0024999999441206455,0.004522670067576898,0.5005819300810496,0.033755389131903825,73.41666666666667,4.7950416309375505,-0.3407884109765291,0.15415772717881304,0.0,0.0,5.529743989308675,0.3541652087719588,0.216,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.07055378061767838,0.002533423198398591,1.0,0.0,1.0,0.0,0.0,0.0,22.083333333333332,0.7929614610987591,4.0,0.0,6.418233102184146e-06,-22.88318093617757,0.7626302965019252,0.0033333332588275275,0.007784989267607156,0.522863452633222,0.04536176626616277,79.0,2.8284271247461903,-0.24217421219994625,0.17223049396016693,0.0,0.0,5.167061924934387,0.4095293826808816,0.228,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.07348242811501596,0.005938149375620352,1.0,0.0,1.0,0.0,0.0,0.0,23.0,1.8586407545691703,4.0,0.0,3.526161800718038e-05,-22.87813075383504,1.3869716595193013,0.007499999832361937,0.008660253844272624,0.5298147449890772,0.08836963281655688,82.75,2.8324419275118906,-0.30145216671129066,0.13981640401615095,0.0,0.0,5.164858261744182,0.5133100640550816,0.24,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
