seed,late_window_updates,rho_seed,active_seed,late_update_count_seed,active_blocks_seed,sustained_active_seed,bursty_only_seed,late_mean_energy_E_post,final_energy_E_post,late_mean_depr_F_post,final_depr_F_post,late_mean_funding_g,final_funding_g,late_mean_episode_return_end_mean,final_episode_return_end_mean,late_mean_update_counter,final_update_counter,alpha
45,313,0.012779552715654952,1,4.0,4,1,0,0.2970363264249201,0.3287597,0.0,0.0,0.12888559529073482,0.14571118,-25.619179261980833,-25.007313,10.916932907348242,13.0,0.061
46,313,0.012779552715654952,1,4.0,4,1,0,0.30063206946325877,0.45505401,0.0,0.0,0.12475360986261981,0.13106139,-25.742974162939294,-25.594927,10.175718849840255,12.0,0.061
47,313,0.012779552715654952,1,4.0,4,1,0,0.280235287698722,0.23189236,0.0,0.0,0.10322800290734825,0.114569865,-26.311757843450476,-27.168684,6.115015974440895,8.0,0.061
48,313,0.009584664536741214,1,3.0,3,1,0,0.28123436805984026,0.2543329,0.0,0.0,0.07442423553674121,0.106603704,-26.761154501597442,-26.385675,4.594249201277956,6.0,0.061
49,313,0.012779552715654952,1,4.0,4,1,0,0.29415023382587857,0.2528896,0.0,0.0,0.12767297361022364,0.115186915,-25.62992714376997,-25.600649,8.808306709265176,11.0,0.061
50,313,0.012779552715654952,1,4.0,4,1,0,0.29868779435942494,0.3187654,0.0,0.0,0.1265588674057508,0.13663007,-25.688051428115017,-25.896507,11.952076677316294,14.0,0.061
51,313,0.009584664536741214,1,3.0,3,1,0,0.30405939394760384,0.21366382,0.0,0.0,0.09317364319169329,0.11465004,-26.528004626198083,-26.631319,6.172523961661342,8.0,0.061
52,313,0.01597444089456869,1,5.0,4,1,0,0.3030904478115016,0.08018264,0.0,0.0,0.13105125817891375,0.15058838,-25.519529830670926,-25.039057,9.386581469648561,12.0,0.061
53,313,0.01597444089456869,1,5.0,4,1,0,0.30736173167571884,0.066371985,0.0,0.0,0.14073188760383387,0.13374949,-25.054236191693292,-25.466478,13.236421725239616,16.0,0.061
54,313,0.012779552715654952,1,4.0,4,1,0,0.3027908047492012,0.5042148,0.0,0.0,0.1236433615399361,0.13778025,-25.856243686900957,-25.378942,9.274760383386582,11.0,0.061
55,313,0.012779552715654952,1,4.0,4,1,0,0.29673505813099044,0.30594423,0.0,0.0,0.12735931753993612,0.12467971,-25.597960539936103,-25.768433,10.900958466453675,13.0,0.061
56,313,0.012779552715654952,1,4.0,4,1,0,0.2882459743322684,0.39920706,0.0,0.0,0.11435946765814697,0.11031537,-26.141324297124598,-26.499966,8.281150159744408,10.0,0.061
57,313,0.012779552715654952,1,4.0,4,1,0,0.2910228846453674,0.08957328,0.0,0.0,0.1248504815974441,0.12797213,-25.69288146325879,-25.386324,10.584664536741213,13.0,0.061
58,313,0.01597444089456869,1,5.0,4,1,0,0.2867941643674122,0.3539155,0.0,0.0,0.14121056067092652,0.14584209,-25.00828131309904,-24.925829,12.766773162939296,15.0,0.061
59,313,0.01597444089456869,1,5.0,4,1,0,0.2883996560447284,0.18323085,0.0,0.0,0.13307740976357826,0.14689022,-25.425334971246006,-24.875721,11.587859424920127,14.0,0.061
60,313,0.003194888178913738,1,1.0,1,0,1,0.29696667024920126,0.12765929,0.0,0.0,0.032350451300319494,0.105279304,-27.16435465495208,-26.477568,3.0926517571884986,4.0,0.061
61,313,0.012779552715654952,1,4.0,4,1,0,0.2934883195910543,0.41004655,0.0,0.0,0.11731809714376995,0.12536782,-26.022807785942494,-25.474207,8.246006389776358,10.0,0.061
