condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_full_anchor_compat,above_R_THRESH_FULL_anchor
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,0.1,1.0,40,10.841998533998776,frontload,0.6,0.0,0.0,4000000,100.0,-22.32634735107422,26.0,0.0,0.0,0.48791930079460144,0.480686753988266,0.3999999761581421,0.4099999964237213,0.7327396869659424,0.7295699715614319,4.0,104.0,4.0,4.0,0.012000000104308128,15.0,0.46400734782218933,0.5999999642372131,0.0,0.0,0.2816475033760071,-25.775474548339844,1.9904304358444513,1.0
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,0.1,1.0,41,10.754142305999267,frontload,0.6,0.0,0.0,4000000,100.0,-23.26311492919922,26.0,0.0,0.0,0.4958687722682953,0.4939512014389038,0.3999999761581421,0.4099999964237213,0.709650993347168,0.7112381458282471,4.0,104.0,4.0,4.0,0.012799999676644802,16.0,0.5516784191131592,0.5999999642372131,0.0,0.0,0.34104612469673157,-25.383342742919922,1.6122367614716735,1.0
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,0.1,1.0,42,11.523146506999183,frontload,0.6,0.0,0.0,4000000,100.0,-22.82306671142578,26.0,0.0,0.0,0.4746297597885132,0.45893341302871704,0.3799999952316284,0.429999977350235,0.6768527626991272,0.655949056148529,4.0,104.0,4.0,4.0,0.012799999676644802,16.0,0.7560228109359741,0.5999999642372131,0.0,0.0,0.3165658712387085,-25.10010528564453,1.7898939053216303,1.0
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,0.1,1.0,43,11.510323548000088,frontload,0.6,0.0,0.0,4000000,100.0,-23.91345977783203,26.0,0.009999999776482582,0.0,0.5021592378616333,0.5127797722816467,0.3999999761581421,0.4399999976158142,0.7479137778282166,0.7652478814125061,4.0,104.0,4.0,4.0,0.01360000018030405,17.0,0.24267180263996124,0.5999999642372131,0.0,0.0,0.3666570484638214,-24.024913787841797,1.3496782425206348,1.0
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,0.1,1.0,44,10.920993407999049,frontload,0.6,0.0,0.0,4000000,100.0,-24.510637283325195,26.0,0.009999999776482582,0.0,0.5240557193756104,0.5107553601264954,0.2800000011920929,0.3400000035762787,0.7495901584625244,0.7399924993515015,4.0,104.0,4.0,4.0,0.012799999676644802,16.0,0.19094637036323547,0.5999999642372131,0.0,0.0,0.33650365471839905,-24.346284866333008,1.1085845493472648,1.0
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,0.1,1.0,45,10.83421509800064,frontload,0.6,0.0,0.0,4000000,100.0,-23.672677993774414,26.0,0.0,0.0,0.4925294816493988,0.503605842590332,0.35999998450279236,0.3700000047683716,0.695866048336029,0.7132053971290588,4.0,104.0,4.0,4.0,0.012000000104308128,15.0,0.4186243414878845,0.5999999642372131,0.0,0.0,0.2598836421966553,-24.79072380065918,1.4468871444523708,1.0
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,0.1,1.0,46,11.199313264000011,frontload,0.6,0.0,0.0,4000000,100.0,-25.16395378112793,26.0,0.0,0.0,0.5039658546447754,0.5012001991271973,0.3199999928474426,0.3700000047683716,0.7215971946716309,0.7214454412460327,4.0,104.0,4.0,4.0,0.01360000018030405,17.0,0.8724709153175354,0.5999999642372131,0.0,0.0,0.42199593782424927,-24.3830623626709,0.8448263102684554,1.0
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,0.1,1.0,47,11.371016552000583,frontload,0.6,0.0,0.0,4000000,100.0,-23.773500442504883,26.0,0.0,0.009999999776482582,0.4953326880931854,0.49424445629119873,0.2800000011920929,0.2800000011920929,0.6896681785583496,0.6927881240844727,4.0,104.0,4.0,4.0,0.01360000018030405,17.0,0.6024487614631653,0.5999999642372131,0.0,0.0,0.39744895696640015,-25.23149871826172,1.4061829044305743,1.0
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,0.1,1.0,48,10.830257526000423,frontload,0.6,0.0,0.0,4000000,100.0,-24.48749542236328,26.0,0.0,0.0,0.49450957775115967,0.5023720860481262,0.47999998927116394,0.429999977350235,0.7299202084541321,0.7331088185310364,4.0,104.0,4.0,4.0,0.012000000104308128,15.0,0.9435198903083801,0.5999999642372131,0.0,0.0,0.30269894003868103,-25.420576095581055,1.1179274275951736,1.0
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,0.1,1.0,49,11.049732180999854,frontload,0.6,0.0,0.0,4000000,100.0,-22.84273910522461,26.0,0.0,0.0,0.49998411536216736,0.49670976400375366,0.41999998688697815,0.35999998450279236,0.732704758644104,0.7267715930938721,4.0,104.0,4.0,4.0,0.012799999676644802,16.0,0.7017189264297485,0.5999999642372131,0.0,0.0,0.3416121006011963,-24.456714630126953,1.7819517272742444,1.0
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,0.1,1.0,50,11.551836870999978,frontload,0.6,0.0,0.0,4000000,100.0,-23.716224670410156,26.0,0.0,0.0,0.5057623386383057,0.5064152479171753,0.3799999952316284,0.28999999165534973,0.7372933626174927,0.7296199798583984,4.0,104.0,4.0,4.0,0.012799999676644802,16.0,0.3765210509300232,0.5999999642372131,0.0,0.0,0.33583521842956543,-25.17589569091797,1.4293063933373946,1.0
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,0.1,1.0,51,10.810180623000633,frontload,0.6,0.0,0.0,4000000,100.0,-24.680545806884766,26.0,0.009999999776482582,0.019999999552965164,0.5169659852981567,0.5179160833358765,0.3499999940395355,0.3199999928474426,0.7433750033378601,0.7381316423416138,4.0,104.0,4.0,4.0,0.012000000104308128,15.0,0.9536272287368774,0.5999999642372131,0.0,0.0,0.3334144949913025,-25.959306716918945,1.039988741451282,1.0
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,0.1,1.0,52,10.912264779000907,frontload,0.6,0.0,0.0,4000000,100.0,-23.074386596679688,26.0,0.0,0.0,0.46557533740997314,0.466600626707077,0.35999998450279236,0.38999998569488525,0.6630810499191284,0.6635527610778809,4.0,104.0,4.0,4.0,0.01360000018030405,17.0,0.3248250186443329,0.5999999642372131,0.0,0.0,0.36222290992736816,-24.56939125061035,1.6884305401640063,1.0
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,0.1,1.0,53,10.810440920000474,frontload,0.6,0.0,0.0,4000000,100.0,-24.156068801879883,26.0,0.0,0.0,0.5115705728530884,0.5149595141410828,0.35999998450279236,0.32999998331069946,0.7207732796669006,0.7221213579177856,4.0,104.0,4.0,4.0,0.014399999752640724,18.0,0.11250586807727814,0.5999999642372131,0.0,0.0,0.4851243793964386,-25.30931282043457,1.2517316436168806,1.0
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,0.1,1.0,54,11.158527055000377,frontload,0.6,0.0,0.0,4000000,100.0,-23.880355834960938,26.0,0.0,0.0,0.4941749572753906,0.49676889181137085,0.3999999761581421,0.38999998569488525,0.7221812009811401,0.7253484725952148,4.0,104.0,4.0,4.0,0.012799999676644802,16.0,0.4678627550601959,0.5999999642372131,0.0,0.0,0.36384257674217224,-24.412199020385742,1.3630430323393692,1.0
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,0.1,1.0,55,10.690419083999586,frontload,0.6,0.0,0.0,4000000,100.0,-23.810693740844727,26.0,0.0,0.009999999776482582,0.4772019386291504,0.47840577363967896,0.4099999964237213,0.4099999964237213,0.6860196590423584,0.6904165744781494,4.0,104.0,4.0,4.0,0.012799999676644802,16.0,0.2833545207977295,0.5999999642372131,0.0,0.0,0.3315444886684418,-25.58298683166504,1.3911671518686175,1.0
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,0.1,1.0,56,11.178822173000299,frontload,0.6,0.0,0.0,4000000,100.0,-23.33155632019043,26.0,0.0,0.009999999776482582,0.4718134105205536,0.4744512736797333,0.4599999785423279,0.4599999785423279,0.6915812492370605,0.7019533514976501,4.0,104.0,4.0,4.0,0.012799999676644802,16.0,0.32096099853515625,0.5999999642372131,0.0,0.0,0.3083128035068512,-25.700002670288086,1.5846054666418943,1.0
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,0.1,1.0,57,11.160163077000107,frontload,0.6,0.0,0.0,4000000,100.0,-22.72771644592285,26.0,0.009999999776482582,0.009999999776482582,0.4743255078792572,0.4800248146057129,0.4699999988079071,0.3999999761581421,0.6905355453491211,0.7020766139030457,4.0,104.0,4.0,4.0,0.012799999676644802,16.0,0.33079877495765686,0.5999999642372131,0.0,0.0,0.3247233033180237,-24.749202728271484,1.8283889046203368,1.0
