condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_full_anchor_compat,above_R_THRESH_FULL_anchor
fragile_full__support__t4m__a0p00__c0p58,extension_full,support,long4m,0.0,0.58,41,11.546849776999807,frontload,0.6,0.0,0.0,4000000,100.0,-27.22994041442871,26.0,0.0,0.0,0.7268115282058716,0.7198805809020996,0.1899999976158142,0.19999998807907104,1.0579726696014404,1.05057954788208,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,0.44000014662742615,0.5999999642372131,0.0,0.0,0.16160649061203003,-27.827228546142578,0.010742067497185153,0.0
fragile_full__support__t4m__a0p00__c0p58,extension_full,support,long4m,0.0,0.58,42,11.228304488000504,frontload,0.6,0.0,0.0,4000000,100.0,-22.72362518310547,26.0,0.0,0.0,0.5925448536872864,0.5955801606178284,0.2199999988079071,0.26999998092651367,0.8727578520774841,0.8661581873893738,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,0.44000014662742615,0.5999999642372131,0.0,0.0,0.14803215861320496,-27.724742889404297,1.830040637402152,1.0
fragile_full__support__t4m__a0p00__c0p58,extension_full,support,long4m,0.0,0.58,43,11.112482848999207,frontload,0.6,0.0,0.0,4000000,100.0,-25.91853141784668,26.0,0.0,0.0,0.7503044009208679,0.7433087825775146,0.20999999344348907,0.1899999976158142,1.1375480890274048,1.133961796760559,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,0.44000014662742615,0.5999999642372131,0.0,0.0,0.141181081533432,-26.62042808532715,0.5401867222914778,1.0
fragile_full__support__t4m__a0p00__c0p58,extension_full,support,long4m,0.0,0.58,44,11.069665381999584,frontload,0.6,0.0,0.0,4000000,100.0,-24.97111701965332,26.0,0.0,0.0,0.5297412872314453,0.5245051383972168,0.32999998331069946,0.32999998331069946,0.7774705290794373,0.7702433466911316,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,0.44000014662742615,0.5999999642372131,0.0,0.0,0.12692292034626007,-25.866762161254883,0.92267875208994,1.0
fragile_full__support__t4m__a0p00__c0p58,extension_full,support,long4m,0.0,0.58,45,11.066448338000555,frontload,0.6,0.0,0.0,4000000,100.0,-24.21949577331543,26.0,0.0,0.0,0.6096457242965698,0.6086561679840088,0.25,0.2199999988079071,0.8606078624725342,0.865505039691925,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,0.44000014662742615,0.5999999642372131,0.0,0.0,0.1194395199418068,-26.449731826782227,1.2261247802478903,1.0
fragile_full__support__t4m__a0p00__c0p58,extension_full,support,long4m,0.0,0.58,46,11.500732746000722,frontload,0.6,0.0,0.0,4000000,100.0,-26.871410369873047,26.0,0.0,0.0,0.708258330821991,0.7010642886161804,0.1599999964237213,0.1599999964237213,1.015940546989441,1.0021381378173828,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,0.44000014662742615,0.5999999642372131,0.0,0.0,0.17172768712043762,-27.368770599365234,0.15548853192429737,0.0
fragile_full__support__t4m__a0p00__c0p58,extension_full,support,long4m,0.0,0.58,47,11.016632351000226,frontload,0.6,0.0,0.0,4000000,100.0,-22.77674674987793,26.0,0.0,0.009999999776482582,0.4998743236064911,0.5030651092529297,0.4099999964237213,0.41999998688697815,0.7131426334381104,0.7120410203933716,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,0.44000014662742615,0.5999999642372131,0.0,0.0,0.15878000855445862,-28.40174102783203,1.8085942925507132,1.0
fragile_full__support__t4m__a0p00__c0p58,extension_full,support,long4m,0.0,0.58,48,11.21092796800076,frontload,0.6,0.0,0.0,4000000,100.0,-26.059858322143555,26.0,0.0,0.0,0.6915756464004517,0.6955239176750183,0.1899999976158142,0.1599999964237213,0.9666709899902344,0.9603353142738342,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,0.44000014662742615,0.5999999642372131,0.0,0.0,0.1741769015789032,-27.168991088867188,0.483129942710414,0.0
fragile_full__support__t4m__a0p00__c0p58,extension_full,support,long4m,0.0,0.58,49,11.338420915000825,frontload,0.6,0.0,0.0,4000000,100.0,-25.283491134643555,26.0,0.0,0.0,0.661097526550293,0.664563775062561,0.1899999976158142,0.2199999988079071,0.9896540641784668,0.9912410378456116,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,0.44000014662742615,0.5999999642372131,0.0,0.0,0.1829543560743332,-27.906600952148438,0.7965664515729196,1.0
fragile_full__support__t4m__a0p00__c0p58,extension_full,support,long4m,0.0,0.58,50,11.720158523999999,frontload,0.6,0.0,0.0,4000000,100.0,-24.764745712280273,26.0,0.0,0.0,0.6434659361839294,0.6346839070320129,0.26999998092651367,0.22999998927116394,0.9481837153434753,0.9386014938354492,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,0.44000014662742615,0.5999999642372131,0.0,0.0,0.1669124960899353,-27.70783805847168,1.0059953877667909,1.0
