condition,horizon_label,alpha,c_upd,seed,update,update_u,update_counter,opt_step,energy_E_pre,energy_E_post,funding_z,funding_g,funding_income,episode_return_end_mean,episode_len_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,terminal_done_count_end,vartd_VarTD,actor_loss,critic_loss,entropy,total_loss,ratio0
enabled_full,full,1.0,0.9,49,71,0.0,8,128,0.8032032,0.91241467,0.96173185,0.10921145,0.10921145,-26.240507,26.000002,2.1158524,0.7052841,0.192,0.0,125,0.15245007,,,,,
enabled_full,full,1.0,0.9,49,72,1.0,9,144,0.91241467,0.12858132,0.93491864,0.11616662,0.11616662,-26.829369,26.000002,2.056862,0.6856207,0.24800001,0.0,125,0.14875446,-0.00041633943,42.661552,1.603829,21.314322,1.0
enabled_full,full,1.0,0.9,49,73,0.0,9,144,0.12858132,0.25108284,0.9118585,0.12250152,0.12250152,-25.737396,26.000002,2.0061288,0.66870964,0.17600001,0.0,125,0.14674844,,,,,
enabled_full,full,1.0,0.9,49,74,0.0,9,144,0.25108284,0.36737406,0.93445307,0.11629121,0.11629121,-25.559841,26.000002,2.0558379,0.6852793,0.16800001,0.0,125,0.1599932,,,,,
enabled_full,full,1.0,0.9,49,75,0.0,9,144,0.36737406,0.48187232,0.9412012,0.11449824,0.11449824,-26.118681,26.000002,2.070684,0.690228,0.16000001,0.0,125,0.16722721,,,,,
enabled_full,full,1.0,0.9,49,76,0.0,9,144,0.48187232,0.5935201,0.9521499,0.111647785,0.111647785,-26.173891,26.000002,2.0947716,0.6982572,0.192,0.0,125,0.16408901,,,,,
enabled_full,full,1.0,0.9,49,77,0.0,9,144,0.5935201,0.7088121,0.9382008,0.11529201,0.11529201,-26.208887,26.000002,2.0640829,0.6880276,0.18400002,0.0,125,0.15976337,,,,,
enabled_full,full,1.0,0.9,49,78,0.0,9,144,0.7088121,0.8292285,0.91931427,0.120416425,0.120416425,-25.598217,26.0,2.0225317,0.6741773,0.17,0.0,100,0.14621651,,,,,
enabled_full,full,1.0,0.9,49,79,0.0,9,144,0.8292285,0.95177114,0.91171277,0.12254263,0.12254263,-25.26751,26.000002,2.005808,0.6686027,0.16800001,0.0,125,0.15669408,,,,,
enabled_full,full,1.0,0.9,49,80,1.0,10,160,0.95177114,0.17026427,0.9263069,0.11849311,0.11849311,-26.793102,26.000002,2.037916,0.6793053,0.23200001,0.0,125,0.17342249,-0.0003572369,44.531853,1.6018825,22.24955,1.0
