condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_full,learned_R_full_0p5,I_R_full_anchor_compat,above_R_THRESH_FULL_anchor
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,53,2.9038727820006898,none,0.0,0.0,0.0,1000000,100.0,-24.036224365234375,26.0,0.009999999776482582,0.0,0.5482151508331299,0.5525970458984375,0.3100000023841858,0.3400000035762787,0.8096026182174683,0.8147890567779541,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.14837417006492615,-27.355215072631836,1.3001154785258766,1.0,,
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,54,2.956254283999442,none,0.0,0.0,0.0,1000000,100.0,-24.373903274536133,26.0,0.019999999552965164,0.019999999552965164,0.6137814521789551,0.6096929311752319,0.29999998211860657,0.3400000035762787,0.8474798202514648,0.8553405404090881,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.1364232897758484,-26.458526611328125,1.1637870759965754,1.0,,
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,55,2.6990209390005475,none,0.0,0.0,0.0,1000000,100.0,-25.54981803894043,26.0,0.0,0.0,0.5899312496185303,0.5872218012809753,0.26999998092651367,0.28999999165534973,0.8743453621864319,0.8723313808441162,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.11893203854560852,-26.24088478088379,0.6890444227661945,1.0,,
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,56,2.9111018359999434,none,0.0,0.0,0.0,1000000,100.0,-23.205068588256836,26.0,0.0,0.0,0.5732465982437134,0.5720304846763611,0.2800000011920929,0.26999998092651367,0.8460454344749451,0.8549333214759827,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.15012212097644806,-28.237764358520508,1.6356713459700338,1.0,,
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,57,2.904978802000187,none,0.0,0.0,0.0,1000000,100.0,-24.288400650024414,26.0,0.0,0.009999999776482582,0.6102951169013977,0.5978736281394958,0.3400000035762787,0.3199999928474426,0.9256753325462341,0.9072499871253967,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.16778984665870667,-27.934547424316406,1.1983063660400315,1.0,,
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,58,2.838424582998414,none,0.0,0.0,0.0,1000000,100.0,-23.813358306884766,26.0,0.019999999552965164,0.009999999776482582,0.5175871253013611,0.510398268699646,0.41999998688697815,0.429999977350235,0.7408370971679688,0.7394558787345886,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.14427758753299713,-26.292953491210938,1.3900914079543072,1.0,,
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,59,2.699125709999862,none,0.0,0.0,0.0,1000000,100.0,-24.065752029418945,26.0,0.0,0.0,0.6133490204811096,0.613945484161377,0.23999999463558197,0.2199999988079071,0.8907833695411682,0.8950659036636353,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.13387687504291534,-26.326990127563477,1.2881945110688688,1.0,,
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,60,2.907882528999835,none,0.0,0.0,0.0,1000000,100.0,-35.29219436645508,26.0,0.0,0.0,1.1814405918121338,1.1693754196166992,0.029999999329447746,0.04999999701976776,1.57920503616333,1.562273383140564,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.17108279466629028,-27.076704025268555,-3.24416717257948,0.0,,
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,61,2.697848903000704,none,0.0,0.0,0.0,1000000,100.0,-24.407140731811523,26.0,0.0,0.0,0.6134756803512573,0.6073645353317261,0.28999999165534973,0.3499999940395355,0.9315816760063171,0.9306100010871887,4.0,104.0,4.0,4.0,0.0032051282469183207,1.0,0.42000001668930054,0.0,0.0,0.0,0.16870547831058502,-27.98734474182129,1.1503683834763365,1.0,,
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,30,15.312805517000015,frontload,0.6,0.0,0.0,1000000,100.0,-23.60323143005371,26.0,0.0,0.0,0.5713550448417664,0.578025221824646,0.3100000023841858,0.20999999344348907,0.845536470413208,0.8548875451087952,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.14977911114692688,-27.585365295410156,1.4749242496206192,1.0,,
