run_dir,alpha,c_upd,roles,notes,seed,eval_return_end_mean,I_R_short,learned_0p5,eval_dbar_post,eval_occupied_post_mean,eval_CSR_mean,mean_update_fraction,final_VarTD,wall_seconds
runs/stageB_completion_bridge_32seed/a0p5_c0p7_seed57,0.5,0.7,enabled_anchor,highest 8-seed P=1 point,57,-22.967026,0.8681894936555398,1,0.483407,0.46,0.0,0.088,0.161957,17.4
runs/stageB_completion_bridge_32seed/a0p5_c0p7_seed58,0.5,0.7,enabled_anchor,highest 8-seed P=1 point,58,-24.426399,0.5728157186930694,1,0.541822,0.31,0.01,0.088,0.180367,20.9
runs/stageB_completion_bridge_32seed/a0p5_c0p7_seed59,0.5,0.7,enabled_anchor,highest 8-seed P=1 point,59,-24.327177,0.5928980257518723,1,0.564569,0.29,0.0,0.088,0.210227,17.78
runs/stageB_completion_bridge_32seed/a0p5_c0p7_seed60,0.5,0.7,enabled_anchor,highest 8-seed P=1 point,60,-23.310053,0.7987616092805025,1,0.525659,0.31,0.0,0.08,0.171304,21.31
runs/stageB_completion_bridge_32seed/a0p5_c0p7_seed61,0.5,0.7,enabled_anchor,highest 8-seed P=1 point,61,-22.424686,0.97795787577111,1,0.491621,0.48,0.0,0.08,0.145443,17.74
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed30,0.5,1.0,edge_max,top of physical c_upd domain,30,-23.41246,0.7780346654679327,1,0.539257,0.39,0.0,0.056,0.151465,17.89
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed31,0.5,1.0,edge_max,top of physical c_upd domain,31,-24.510185,0.5558576229156323,1,0.478638,0.47,0.0,0.056,0.161307,20.87
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed32,0.5,1.0,edge_max,top of physical c_upd domain,32,-23.510172,0.75825797897371,1,0.498853,0.37,0.02,0.056,0.124596,17.98
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed33,0.5,1.0,edge_max,top of physical c_upd domain,33,-24.087177,0.6414734797249091,1,0.527255,0.45,0.0,0.056,0.141874,20.67
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed34,0.5,1.0,edge_max,top of physical c_upd domain,34,-24.716625,0.5140746365898249,1,0.521491,0.43,0.0,0.056,0.143696,20.86
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed35,0.5,1.0,edge_max,top of physical c_upd domain,35,-24.467794,0.5644374648713446,1,0.494943,0.39,0.02,0.056,0.123756,18.07
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed36,0.5,1.0,edge_max,top of physical c_upd domain,36,-24.742746,0.5087878056180345,1,0.525425,0.31,0.0,0.056,0.139635,20.52
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed37,0.5,1.0,edge_max,top of physical c_upd domain,37,-25.00436,0.4558377272192762,0,0.575941,0.22,0.0,0.056,0.163939,17.82
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed38,0.5,1.0,edge_max,top of physical c_upd domain,38,-24.246716,0.6091831490940579,1,0.603075,0.39,0.0,0.048,0.143144,21.11
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed39,0.5,1.0,edge_max,top of physical c_upd domain,39,-24.24725,0.6090750687089674,1,0.502804,0.46,0.0,0.056,0.134476,17.62
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed40,0.5,1.0,edge_max,top of physical c_upd domain,40,-23.865107,0.6864199424907109,1,0.525698,0.33,0.0,0.056,0.136434,21.15
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed41,0.5,1.0,edge_max,top of physical c_upd domain,41,-23.289946,0.8028312203348185,1,0.526401,0.32,0.0,0.056,0.169731,17.48
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed42,0.5,1.0,edge_max,top of physical c_upd domain,42,-23.813845,0.6967952546639014,1,0.501507,0.36,0.0,0.056,0.164265,21.17
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed43,0.5,1.0,edge_max,top of physical c_upd domain,43,-24.404354,0.5772775765382174,1,0.502226,0.31,0.0,0.056,0.183049,21.2
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed44,0.5,1.0,edge_max,top of physical c_upd domain,44,-24.374573,0.5833051831830965,1,0.504701,0.42,0.0,0.056,0.159399,17.61
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed45,0.5,1.0,edge_max,top of physical c_upd domain,45,-23.748129,0.7100960235526188,1,0.494259,0.44,0.02,0.056,0.145728,21.03
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed46,0.5,1.0,edge_max,top of physical c_upd domain,46,-25.600151,0.3352509843107354,0,0.530592,0.31,0.0,0.056,0.133366,17.62
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed47,0.5,1.0,edge_max,top of physical c_upd domain,47,-23.622684,0.7354858061511504,1,0.486713,0.36,0.0,0.056,0.160279,21.09
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed48,0.5,1.0,edge_max,top of physical c_upd domain,48,-22.726206,0.9169309137629845,1,0.486194,0.37,0.0,0.056,0.178357,17.65
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed49,0.5,1.0,edge_max,top of physical c_upd domain,49,-22.478912,0.9669826567413521,1,0.472334,0.29,0.0,0.056,0.157359,21.15
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed50,0.5,1.0,edge_max,top of physical c_upd domain,50,-24.003012,0.6585082842400789,1,0.502288,0.31,0.0,0.056,0.14677,17.66
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed51,0.5,1.0,edge_max,top of physical c_upd domain,51,-24.84211,0.4886767580822974,0,0.501929,0.39,0.0,0.056,0.162136,21.03
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed52,0.5,1.0,edge_max,top of physical c_upd domain,52,-25.595295,0.33623382766278986,0,0.670669,0.21,0.0,0.056,0.163844,17.45
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed53,0.5,1.0,edge_max,top of physical c_upd domain,53,-24.112528,0.636342495001282,1,0.536259,0.3,0.01,0.056,0.128775,20.91
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed54,0.5,1.0,edge_max,top of physical c_upd domain,54,-23.914213,0.6764809998123773,1,0.532742,0.48,0.0,0.056,0.143646,17.66
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed55,0.5,1.0,edge_max,top of physical c_upd domain,55,-24.68391,0.5206960781595245,1,0.492574,0.34,0.01,0.056,0.186536,21.28
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed56,0.5,1.0,edge_max,top of physical c_upd domain,56,-24.282627,0.6019148443956168,1,0.551658,0.37,0.01,0.056,0.171043,21.0
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed57,0.5,1.0,edge_max,top of physical c_upd domain,57,-23.51647,0.7569832781023673,1,0.471707,0.46,0.01,0.056,0.143524,17.55
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed58,0.5,1.0,edge_max,top of physical c_upd domain,58,-23.692251,0.7214056036238912,1,0.544769,0.34,0.0,0.056,0.163079,21.21
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed59,0.5,1.0,edge_max,top of physical c_upd domain,59,-23.109903,0.8392715139167667,1,0.523945,0.37,0.0,0.048,0.194458,17.36
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed60,0.5,1.0,edge_max,top of physical c_upd domain,60,-24.736603,0.5100311348420197,1,0.568845,0.37,0.0,0.048,0.164945,21.25
runs/stageB_completion_bridge_32seed/a0p5_c1p0_seed61,0.5,1.0,edge_max,top of physical c_upd domain,61,-23.500195,0.7602773010749139,1,0.511328,0.44,0.0,0.056,0.130023,17.43
