condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_full,learned_R_full_0p5
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,40,2.957715182999891,none,0.0,0.6,0.02,1000000,100.0,-25.022594451904297,26.0,0.0,0.0,0.6291853785514832,0.6241559386253357,0.22999998927116394,0.22999998927116394,0.9112346172332764,0.9071139097213745,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.3590197563171387,0.6000000238418579,0.12826552987098694,-26.87846565246582,0.9018961805055989,1.0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,41,2.880905518999498,none,0.0,0.6,0.02,1000000,100.0,-25.293792724609375,26.0,0.0,0.0,0.5982638597488403,0.5956187844276428,0.26999998092651367,0.23999999463558197,0.859062910079956,0.8578335642814636,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.3590197563171387,0.6000000238418579,0.153321772813797,-27.118621826171875,0.792407473132554,1.0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,42,2.817096754999511,none,0.0,0.6,0.02,1000000,100.0,-23.11579704284668,26.0,0.0,0.009999999776482582,0.5252017974853516,0.5205162763595581,0.4099999964237213,0.41999998688697815,0.7855001091957092,0.7866217494010925,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.3590197563171387,0.6000000238418579,0.15871694684028625,-27.54336929321289,1.6717122322731017,1.0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,43,2.809592830000838,none,0.0,0.6,0.02,1000000,100.0,-29.528139114379883,26.0,0.0,0.0,0.9081053733825684,0.9001458883285522,0.07999999821186066,0.07000000029802322,1.3101966381072998,1.303613305091858,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.3590197563171387,0.6000000238418579,0.16147425770759583,-27.297611236572266,-0.9170912938078278,0.0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,44,2.7033453980002378,none,0.0,0.6,0.02,1000000,100.0,-24.016403198242188,26.0,0.0,0.0,0.5459551811218262,0.5460055470466614,0.26999998092651367,0.23999999463558197,0.7922510504722595,0.7954514622688293,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.3590197563171387,0.6000000238418579,0.13183946907520294,-26.34160614013672,1.3081177195835103,1.0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,45,2.912592180999127,none,0.0,0.6,0.02,1000000,100.0,-25.535974502563477,26.0,0.0,0.0,0.642850399017334,0.6391233205795288,0.25,0.28999999165534973,0.939754068851471,0.9426047205924988,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.3590197563171387,0.6000000238418579,0.12794119119644165,-26.352231979370117,0.6946333628736141,1.0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,46,2.9199144760004856,none,0.0,0.6,0.02,1000000,100.0,-25.45147705078125,26.0,0.0,0.0,0.6497974395751953,0.6415780186653137,0.23999999463558197,0.14999999105930328,0.9451543688774109,0.9387126564979553,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.3590197563171387,0.6000000238418579,0.1468687206506729,-26.962621688842773,0.7287468425786009,1.0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,47,2.765089906999492,none,0.0,0.6,0.02,1000000,100.0,-23.46425437927246,26.0,0.019999999552965164,0.009999999776482582,0.5145857930183411,0.5158389806747437,0.41999998688697815,0.35999998450279236,0.7537972331047058,0.760589063167572,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.3590197563171387,0.6000000238418579,0.1882542222738266,-28.153526306152344,1.5310323416552045,1.0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,48,2.699274737000451,none,0.0,0.6,0.02,1000000,100.0,-28.77353286743164,26.0,0.0,0.0,0.9053287506103516,0.8987280130386353,0.09999999403953552,0.09999999403953552,1.2289707660675049,1.218008041381836,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.3590197563171387,0.6000000238418579,0.18455256521701813,-27.95313262939453,-0.6124401552519563,0.0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,49,2.8729276189988013,none,0.0,0.6,0.02,1000000,100.0,-23.612308502197266,26.0,0.0,0.0,0.5426930785179138,0.5315440893173218,0.3799999952316284,0.3400000035762787,0.802811861038208,0.7872424125671387,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.3590197563171387,0.6000000238418579,0.17044004797935486,-26.25449562072754,1.4712596359569088,1.0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,50,2.852332729999034,none,0.0,0.6,0.02,1000000,100.0,-23.747011184692383,26.0,0.0,0.009999999776482582,0.5503909587860107,0.5423909425735474,0.3700000047683716,0.3999999761581421,0.8204869627952576,0.808929979801178,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.3590197563171387,0.6000000238418579,0.14399947226047516,-26.47432518005371,1.416877200409059,1.0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,51,2.702838277999035,none,0.0,0.6,0.02,1000000,100.0,-23.8696231842041,26.0,0.0,0.0,0.5551351308822632,0.5560866594314575,0.3199999928474426,0.32999998331069946,0.8096060156822205,0.8080158829689026,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.3590197563171387,0.6000000238418579,0.1276807188987732,-27.45328712463379,1.3673760395017347,1.0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,52,2.69595255600143,none,0.0,0.6,0.02,1000000,100.0,-26.97344970703125,26.0,0.0,0.0,0.7572945356369019,0.7525186538696289,0.14999999105930328,0.10999999940395355,1.063452959060669,1.0564005374908447,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.3590197563171387,0.6000000238418579,0.17514067888259888,-28.03097152709961,0.11429300728021738,0.0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,53,2.8185787359998358,none,0.0,0.6,0.02,1000000,100.0,-25.159786224365234,26.0,0.0,0.0,0.6280473470687866,0.6234745979309082,0.3400000035762787,0.25,0.9258366823196411,0.9150735139846802,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.3590197563171387,0.6000000238418579,0.14206087589263916,-27.129005432128906,0.8465088445939876,1.0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,54,2.698007471000892,none,0.0,0.6,0.02,1000000,100.0,-23.757192611694336,26.0,0.0,0.0,0.5728984475135803,0.5665398240089417,0.23999999463558197,0.25,0.8186381459236145,0.8123998045921326,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.3590197563171387,0.6000000238418579,0.13654734194278717,-26.149864196777344,1.4127667344000476,1.0
