condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_short,learned_R_short_0p5
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,47,1.1757266519998666,none,0.0,0.6,0.02,400000,100.0,-23.454792022705078,26.0,0.019999999552965164,0.009999999776482582,0.5142595767974854,0.5151925086975098,0.4099999964237213,0.35999998450279236,0.7521269917488098,0.7603552937507629,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.17121323943138123,-26.856090545654297,0.7694667603825323,1.0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,48,1.0940414489996328,none,0.0,0.6,0.02,400000,100.0,-28.846210479736328,26.0,0.0,0.0,0.9048223495483398,0.9000018835067749,0.09999999403953552,0.09999999403953552,1.2306057214736938,1.2228724956512451,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.16920800507068634,-26.41752052307129,-0.3217440692378998,0.0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,49,1.0947692139998253,none,0.0,0.6,0.02,400000,100.0,-23.587772369384766,26.0,0.0,0.0,0.5339332222938538,0.5261527299880981,0.4099999964237213,0.3700000047683716,0.793577253818512,0.7829233407974243,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.16427960991859436,-26.48278045654297,0.742551840759792,1.0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,50,1.175819756999772,none,0.0,0.6,0.02,400000,100.0,-23.76276397705078,26.0,0.0,0.009999999776482582,0.5496014952659607,0.5414739847183228,0.3799999952316284,0.3999999761581421,0.8188461065292358,0.8065599799156189,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.15872465074062347,-27.161026000976562,0.7071339374937574,1.0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,51,1.1738457339997694,none,0.0,0.6,0.02,400000,100.0,-23.919389724731445,26.0,0.0,0.0,0.5595523118972778,0.561083197593689,0.3199999928474426,0.29999998211860657,0.8144793510437012,0.8111550807952881,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.17273445427417755,-27.591583251953125,0.6754332425043632,1.0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,52,1.0959459509995213,none,0.0,0.6,0.02,400000,100.0,-26.963964462280273,26.0,0.0,0.0,0.7536219954490662,0.7500582933425903,0.1599999964237213,0.10999999940395355,1.061082363128662,1.0541383028030396,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.16427157819271088,-27.781017303466797,0.059218242374053535,0.0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,53,1.1544826440003817,none,0.0,0.6,0.02,400000,100.0,-25.176088333129883,26.0,0.0,0.0,0.6278547048568726,0.6248618960380554,0.35999998450279236,0.23999999463558197,0.930548369884491,0.9198636412620544,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.12098447233438492,-26.61546516418457,0.42108030329503837,0.0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,54,1.1731132170007186,none,0.0,0.6,0.02,400000,100.0,-23.73750877380371,26.0,0.0,0.0,0.57619309425354,0.5692896842956543,0.25,0.2199999988079071,0.820915937423706,0.8143446445465088,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.1392674446105957,-27.537540435791016,0.7122455331725397,1.0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,55,1.195492610000656,none,0.0,0.6,0.02,400000,100.0,-25.104110717773438,26.0,0.0,0.0,0.5867934226989746,0.5826378464698792,0.32999998331069946,0.26999998092651367,0.8660388588905334,0.8511059284210205,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.19027335941791534,-27.867473602294922,0.4356484088860216,0.0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,56,1.1725489149994246,none,0.0,0.6,0.02,400000,100.0,-24.30522346496582,26.0,0.0,0.0,0.5722789764404297,0.5753505229949951,0.28999999165534973,0.28999999165534973,0.8907885551452637,0.8988302946090698,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.17118096351623535,-27.131467819213867,0.5973413712960315,1.0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,57,1.171587818000262,none,0.0,0.6,0.02,400000,100.0,-23.510986328125,26.0,0.0,0.0,0.5718097686767578,0.566849946975708,0.3400000035762787,0.2800000011920929,0.8576534986495972,0.8555207848548889,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.1428062915802002,-26.569223403930664,0.758093160813898,1.0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,58,1.1060493839995615,none,0.0,0.6,0.02,400000,100.0,-24.727983474731445,26.0,0.0,0.0,0.5437904596328735,0.542406439781189,0.28999999165534973,0.3400000035762787,0.8173435926437378,0.8170990347862244,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.16487357020378113,-27.00880241394043,0.5117757071459865,1.0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,59,1.0948550140001316,none,0.0,0.6,0.02,400000,100.0,-23.509057998657227,26.0,0.0,0.0,0.5676354169845581,0.5640039443969727,0.26999998092651367,0.25,0.8186973333358765,0.8134941458702087,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.2046058475971222,-28.209823608398438,0.7584834503110092,1.0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,60,1.173137809999389,none,0.0,0.6,0.02,400000,100.0,-31.791112899780273,26.0,0.0,0.0,1.0718220472335815,1.0535176992416382,0.07000000029802322,0.05999999865889549,1.4370790719985962,1.4174386262893677,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.18201157450675964,-26.760717391967773,-0.9177856190709412,0.0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,61,1.095803120999335,none,0.0,0.6,0.02,400000,100.0,-23.576730728149414,26.0,0.0,0.0,0.5521367788314819,0.5517172813415527,0.4099999964237213,0.35999998450279236,0.8319307565689087,0.830869197845459,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.13269641995429993,-27.729326248168945,0.7447866438248528,1.0
