run_dir,alpha,c_upd,candidate_type,stageB_classification,stageB_in_domain_bracket_lo,stageB_in_domain_bracket_hi_or_gateoff,seed,eval_return_end_mean,I_R_full,learned_R_full_0p5,eval_dbar_post,eval_occupied_post_mean,eval_CSR_mean,mean_update_fraction,final_executed_updates_mean,final_energy,final_VarTD,wall_seconds
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed37,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,37,-25.096781,0.8719454393948697,1,0.593634,0.34,0.0,0.003205,1.0,0.46,0.177303,21.26
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed38,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,38,-24.877289,0.96055918725918,1,0.68459,0.19,0.0,0.003205,1.0,0.46,0.151203,21.48
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed39,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,39,-25.976641,0.5167266059253467,1,0.706573,0.25,0.0,0.003205,1.0,0.46,0.131356,21.76
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed40,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,40,-26.17737,0.435687893830805,0,0.702827,0.2,0.0,0.003205,1.0,0.46,0.12813,21.31
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed41,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,41,-26.574673,0.27528793452598144,0,0.66982,0.24,0.0,0.003205,1.0,0.46,0.15924,21.44
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed42,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,42,-24.19523,1.2359214066320234,1,0.653425,0.26,0.0,0.003205,1.0,0.46,0.172085,21.49
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed43,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,43,-29.750072,-1.0066904808813426,0,0.93333,0.04,0.0,0.003205,1.0,0.46,0.161836,21.03
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed44,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,44,-24.145353,1.2560578485170493,1,0.554091,0.26,0.0,0.003205,1.0,0.46,0.145095,21.59
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed45,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,45,-26.317577,0.3790832442453466,0,0.691945,0.16,0.0,0.003205,1.0,0.46,0.134612,21.5
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed46,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,46,-28.051998,-0.3211406599724191,0,0.801128,0.25,0.0,0.003205,1.0,0.46,0.152691,21.18
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed47,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,47,-24.031342,1.3020865967527848,1,0.542726,0.27,0.0,0.003205,1.0,0.46,0.206512,21.24
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed48,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,48,-31.453136,-1.694254874539356,0,1.044795,0.15,0.0,0.003205,1.0,0.46,0.19475,21.63
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed49,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,49,-24.142195,1.257332802573486,1,0.628998,0.23,0.0,0.003205,1.0,0.46,0.175781,21.04
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed50,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,50,-24.887733,0.9563427147558776,1,0.568347,0.37,0.0,0.003205,1.0,0.46,0.146179,21.39
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed51,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,51,-25.716953,0.6215683630526552,1,0.659322,0.19,0.01,0.003205,1.0,0.46,0.130641,21.42
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed52,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,52,-25.97551,0.5171832155003409,1,0.739611,0.15,0.0,0.003205,1.0,0.46,0.17542,21.08
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed53,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,53,-24.036224,1.3001156259790265,1,0.548215,0.31,0.01,0.003205,1.0,0.46,0.148374,22.06
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed54,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,54,-24.331476,1.180915899864028,1,0.612903,0.3,0.02,0.003205,1.0,0.46,0.136424,21.23
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed55,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,55,-25.549818,0.689044438487303,1,0.589931,0.27,0.0,0.003205,1.0,0.46,0.118932,21.43
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed56,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,56,-23.205069,1.635671179740262,1,0.573247,0.28,0.0,0.003205,1.0,0.46,0.150122,21.25
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed57,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,57,-24.288401,1.19830622474719,1,0.610295,0.34,0.0,0.003205,1.0,0.46,0.16779,21.33
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed58,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,58,-23.813358,1.3900915318504363,1,0.517587,0.42,0.02,0.003205,1.0,0.46,0.144278,21.24
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed59,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,59,-24.065752,1.2881945229459442,1,0.613349,0.24,0.0,0.003205,1.0,0.46,0.133877,21.18
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed60,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,60,-35.292194,-3.2441670246335064,0,1.181441,0.03,0.0,0.003205,1.0,0.46,0.171083,21.52
runs/stageC_subset_refine_full_32seed/a0p0_c0p54_seed61,0.0,0.540,in_domain,in_domain_bracket_ready,0.500,0.600,61,-24.407141,1.1503682752027502,1,0.613476,0.29,0.0,0.003205,1.0,0.46,0.168705,21.28
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed30,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,30,-25.200226,0.8301824177456811,1,0.67245,0.18,0.0,0.003205,1.0,0.44,0.153091,21.31
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed31,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,31,-28.074459,-0.3302086596752796,0,0.778742,0.17,0.0,0.003205,1.0,0.44,0.163497,21.06
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed32,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,32,-23.693556,1.4384582341522976,1,0.522487,0.38,0.0,0.003205,1.0,0.44,0.18601,21.24
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed33,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,33,-25.313137,0.7845977637031318,1,0.67821,0.22,0.0,0.003205,1.0,0.44,0.163067,22.08
