condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_full_anchor_compat,above_R_THRESH_FULL_anchor
enabled_full__support__t4m__a1p00__c0p90,extension_full,support,long4m,1.0,0.9,44,11.782174379000935,frontload,0.6,0.0,0.0,4000000,100.0,-32.0992317199707,26.0,0.0,0.0,1.187153935432434,1.1289498805999756,0.07000000029802322,0.09999999403953552,1.5782274007797241,1.5082159042358398,4.0,104.0,4.0,4.0,0.14480000734329224,181.0,0.39858484268188477,0.5999999642372131,0.0,0.0,1.0784313678741455,-27.670188903808594,-1.9550979267949924,0.0
enabled_full__support__t4m__a1p00__c0p90,extension_full,support,long4m,1.0,0.9,45,11.155118425000182,frontload,0.6,0.0,0.0,4000000,100.0,-28.95857810974121,26.0,0.0,0.0,0.9944013357162476,0.963015079498291,0.07000000029802322,0.07999999821186066,1.261509656906128,1.2263330221176147,4.0,104.0,4.0,4.0,0.1695999950170517,212.0,0.907397449016571,0.5999999642372131,0.0,0.0,1.694441795349121,-25.564294815063477,-0.6871469894213591,0.0
enabled_full__support__t4m__a1p00__c0p90,extension_full,support,long4m,1.0,0.9,46,11.623682989000372,frontload,0.6,0.0,0.0,4000000,100.0,-22.90542221069336,26.0,0.0,0.0,0.5009176731109619,0.5040411949157715,0.3799999952316284,0.38999998569488525,0.7459872364997864,0.7493566870689392,4.0,104.0,4.0,4.0,0.21119999885559082,264.0,0.7938008308410645,0.5999999642372131,0.0,0.0,4.118195533752441,-20.654399871826172,1.7566451789564934,1.0
enabled_full__support__t4m__a1p00__c0p90,extension_full,support,long4m,1.0,0.9,47,11.858397551000962,frontload,0.6,0.0,0.0,4000000,100.0,-27.542865753173828,26.0,0.0,0.0,0.9212568998336792,0.8830244541168213,0.09999999403953552,0.12999999523162842,1.2667009830474854,1.2266836166381836,4.0,104.0,4.0,4.0,0.14959999918937683,187.0,0.9908645153045654,0.5999999642372131,0.0,0.0,1.4708222150802612,-26.841989517211914,-0.11559277417318939,0.0
enabled_full__support__t4m__a1p00__c0p90,extension_full,support,long4m,1.0,0.9,48,11.289246221000212,frontload,0.6,0.0,0.0,4000000,100.0,-28.742809295654297,26.0,0.0,0.0,0.8034695982933044,0.8146605491638184,0.14999999105930328,0.12999999523162842,1.1432420015335083,1.154684066772461,4.0,104.0,4.0,4.0,0.13600000739097595,170.0,0.9717721939086914,0.5999999642372131,0.0,0.0,1.2354929447174072,-26.360698699951172,-0.6000363735971872,0.0
enabled_full__support__t4m__a1p00__c0p90,extension_full,support,long4m,1.0,0.9,49,11.246035808999295,frontload,0.6,0.0,0.0,4000000,100.0,-23.700944900512695,26.0,0.0,0.0,0.6008086204528809,0.5979167819023132,0.26999998092651367,0.3100000023841858,0.8728498816490173,0.8620190024375916,4.0,104.0,4.0,4.0,0.1607999950647354,201.0,0.15932126343250275,0.5999999642372131,0.0,0.0,2.967170476913452,-24.004728317260742,1.4354751725052837,1.0
enabled_full__support__t4m__a1p00__c0p90,extension_full,support,long4m,1.0,0.9,50,11.516265756999928,frontload,0.6,0.0,0.0,4000000,100.0,-21.385555267333984,26.0,0.0,0.0,0.5135527849197388,0.5138514041900635,0.3100000023841858,0.3100000023841858,0.7670717239379883,0.7744984030723572,4.0,104.0,4.0,4.0,0.15680000185966492,196.0,0.22319725155830383,0.5999999642372131,0.0,0.0,4.177152156829834,-23.252338409423828,2.3702488916482922,1.0
enabled_full__support__t4m__a1p00__c0p90,extension_full,support,long4m,1.0,0.9,51,11.108398043001216,frontload,0.6,0.0,0.0,4000000,100.0,-24.97039031982422,26.0,0.009999999776482582,0.009999999776482582,0.6236842274665833,0.6200686693191528,0.25999999046325684,0.26999998092651367,0.8836864829063416,0.8788154125213623,4.0,104.0,4.0,4.0,0.14800000190734863,185.0,0.6200074553489685,0.5999999642372131,0.0,0.0,3.990431308746338,-23.99887466430664,0.9229721367938428,1.0
enabled_full__support__t4m__a1p00__c0p90,extension_full,support,long4m,1.0,0.9,52,11.337716987000022,frontload,0.6,0.0,0.0,4000000,100.0,-26.433433532714844,26.0,0.0,0.0,0.8166038393974304,0.7993797063827515,0.14000000059604645,0.17999999225139618,1.1472312211990356,1.129991054534912,4.0,104.0,4.0,4.0,0.15520000457763672,194.0,0.5678176879882812,0.5999999642372131,0.0,0.0,2.2748918533325195,-24.3328857421875,0.33230941386234203,0.0
enabled_full__support__t4m__a1p00__c0p90,extension_full,support,long4m,1.0,0.9,53,11.397615135998421,frontload,0.6,0.0,0.0,4000000,100.0,-25.371639251708984,26.0,0.0,0.0,0.7315766215324402,0.719231128692627,0.1599999964237213,0.17999999225139618,1.05088210105896,1.0315498113632202,4.0,104.0,4.0,4.0,0.1599999964237213,200.0,0.6510459184646606,0.5999999642372131,0.0,0.0,3.1946957111358643,-24.765907287597656,0.7609791180010822,1.0
