condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_full_anchor_compat,above_R_THRESH_FULL_anchor
anchor_edge_full_probe__base__t4m__a0p10__c1p00,baseline_4m,base,long4m,0.1,1.0,50,11.643323289001273,none,0.0,0.0,0.0,4000000,100.0,-24.05514144897461,26.0,0.009999999776482582,0.0,0.504805326461792,0.5140954256057739,0.3499999940395355,0.28999999165534973,0.7287738919258118,0.7450951933860779,4.0,104.0,4.0,4.0,0.012799999676644802,16.0,0.35092589259147644,0.0,0.0,0.0,0.33483752608299255,-24.806034088134766,1.2924782357612876,1.0
anchor_edge_full_probe__base__t4m__a0p10__c1p00,baseline_4m,base,long4m,0.1,1.0,51,10.939687425998272,none,0.0,0.0,0.0,4000000,100.0,-23.910491943359375,26.0,0.0,0.0,0.5461646318435669,0.541090726852417,0.3700000047683716,0.41999998688697815,0.7977917790412903,0.7975015640258789,4.0,104.0,4.0,4.0,0.01119999960064888,14.0,0.7376561760902405,0.0,0.0,0.0,0.2577216327190399,-26.023427963256836,1.3508764225712195,1.0
anchor_edge_full_probe__base__t4m__a0p10__c1p00,baseline_4m,base,long4m,0.1,1.0,52,11.426704690999031,none,0.0,0.0,0.0,4000000,100.0,-22.949514389038086,26.0,0.0,0.009999999776482582,0.4564971923828125,0.45034587383270264,0.4399999976158142,0.5399999618530273,0.6471890211105347,0.6369047164916992,4.0,104.0,4.0,4.0,0.012799999676644802,16.0,0.9566864371299744,0.0,0.0,0.0,0.33751779794692993,-24.632457733154297,1.7388441968039419,1.0
anchor_edge_full_probe__base__t4m__a0p10__c1p00,baseline_4m,base,long4m,0.1,1.0,53,11.507345865000389,none,0.0,0.0,0.0,4000000,100.0,-24.365203857421875,26.0,0.0,0.009999999776482582,0.5161631107330322,0.5219172239303589,0.25999999046325684,0.32999998331069946,0.747675895690918,0.7519833445549011,4.0,104.0,4.0,4.0,0.012799999676644802,16.0,0.6254535913467407,0.0,0.0,0.0,0.37797510623931885,-25.665687561035156,1.1672992220188874,1.0
anchor_edge_full_probe__base__t4m__a0p10__c1p00,baseline_4m,base,long4m,0.1,1.0,54,11.422248189999664,none,0.0,0.0,0.0,4000000,100.0,-23.765480041503906,26.0,0.0,0.0,0.5043538808822632,0.505424439907074,0.28999999165534973,0.3499999940395355,0.7191388607025146,0.7225210666656494,4.0,104.0,4.0,4.0,0.01119999960064888,14.0,0.9640775322914124,0.0,0.0,0.0,0.2665489912033081,-25.076324462890625,1.4094209167138065,1.0
anchor_edge_full_probe__base__t4m__a0p10__c1p00,baseline_4m,base,long4m,0.1,1.0,55,11.684862678999707,none,0.0,0.0,0.0,4000000,100.0,-24.061229705810547,26.0,0.0,0.009999999776482582,0.480011910200119,0.483628511428833,0.3499999940395355,0.4699999988079071,0.6936547756195068,0.7043556571006775,4.0,104.0,4.0,4.0,0.012799999676644802,16.0,0.12790320813655853,0.0,0.0,0.0,0.33662861585617065,-24.9987735748291,1.2900202725726844,1.0
anchor_edge_full_probe__base__t4m__a0p10__c1p00,baseline_4m,base,long4m,0.1,1.0,56,11.4652500709999,none,0.0,0.0,0.0,4000000,100.0,-23.72041893005371,26.0,0.009999999776482582,0.0,0.47649335861206055,0.4708765745162964,0.4599999785423279,0.44999998807907104,0.6955627202987671,0.6887697577476501,4.0,104.0,4.0,4.0,0.012799999676644802,16.0,0.0571419894695282,0.0,0.0,0.0,0.31474027037620544,-25.50022315979004,1.4276130784715617,1.0
anchor_edge_full_probe__base__t4m__a0p10__c1p00,baseline_4m,base,long4m,0.1,1.0,57,11.226562978001311,none,0.0,0.0,0.0,4000000,100.0,-23.78706932067871,26.0,0.0,0.009999999776482582,0.5192996263504028,0.5191972255706787,0.32999998331069946,0.25999999046325684,0.7664519548416138,0.7607746720314026,4.0,104.0,4.0,4.0,0.012000000104308128,15.0,0.7865812182426453,0.0,0.0,0.0,0.2810007929801941,-24.945974349975586,1.4007048498805352,1.0
anchor_edge_full_probe__base__t4m__a0p10__c1p00,baseline_4m,base,long4m,0.1,1.0,58,11.771592023000267,none,0.0,0.0,0.0,4000000,100.0,-24.147890090942383,26.0,0.009999999776482582,0.0,0.4897817373275757,0.497071236371994,0.3799999952316284,0.3499999940395355,0.7058743238449097,0.7133266925811768,4.0,104.0,4.0,4.0,0.012799999676644802,16.0,0.1457366943359375,0.0,0.0,0.0,0.34456491470336914,-24.917564392089844,1.2550335691033252,1.0
anchor_edge_full_probe__base__t4m__a0p10__c1p00,baseline_4m,base,long4m,0.1,1.0,59,11.014413819000765,none,0.0,0.0,0.0,4000000,100.0,-24.934160232543945,26.0,0.0,0.0,0.5512089729309082,0.5522946715354919,0.3100000023841858,0.3100000023841858,0.7763851284980774,0.7824780941009521,4.0,104.0,4.0,4.0,0.012000000104308128,15.0,0.05364483594894409,0.0,0.0,0.0,0.3003937900066376,-25.04828453063965,0.9375990198663745,1.0
