condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_short,learned_R_short_0p5
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,50,1.0980059899993648,frontload,0.6,0.0,0.0,400000,100.0,-24.467363357543945,26.0,0.0,0.0,0.5556082129478455,0.5558074712753296,0.32999998331069946,0.3199999928474426,0.8165910840034485,0.8105948567390442,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,0.40000003576278687,0.6000000238418579,0.0,0.0,0.15620461106300354,-27.132808685302734,0.5645246259246904,1.0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,51,1.0975850670001819,frontload,0.6,0.0,0.0,400000,100.0,-24.423673629760742,26.0,0.0,0.009999999776482582,0.6061843633651733,0.599574089050293,0.2800000011920929,0.3400000035762787,0.9195229411125183,0.9077438712120056,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,0.40000003576278687,0.6000000238418579,0.0,0.0,0.17477808892726898,-27.666507720947266,0.5733673274289717,1.0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,52,1.1248609619997296,frontload,0.6,0.0,0.0,400000,100.0,-24.887374877929688,26.0,0.0,0.0,0.6252579689025879,0.6180359125137329,0.2199999988079071,0.25,0.9260422587394714,0.9199690818786621,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,0.40000003576278687,0.6000000238418579,0.0,0.0,0.16558977961540222,-27.547494888305664,0.4795152497720116,0.0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,53,1.1791425320006965,frontload,0.6,0.0,0.0,400000,100.0,-24.58423614501953,26.0,0.0,0.0,0.5851525068283081,0.5870636105537415,0.2800000011920929,0.23999999463558197,0.9040067791938782,0.9068713188171387,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,0.40000003576278687,0.6000000238418579,0.0,0.0,0.1210007518529892,-26.6905574798584,0.5408698396383534,1.0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,54,1.189088551000168,frontload,0.6,0.0,0.0,400000,100.0,-23.84310531616211,26.0,0.0,0.0,0.5846312046051025,0.581733226776123,0.3999999761581421,0.3700000047683716,0.8760501146316528,0.8631614446640015,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,0.40000003576278687,0.6000000238418579,0.0,0.0,0.14223888516426086,-27.627878189086914,0.690873033243197,1.0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,55,1.110043033000693,frontload,0.6,0.0,0.0,400000,100.0,-24.4985294342041,26.0,0.0,0.009999999776482582,0.5454630851745605,0.5425461530685425,0.3700000047683716,0.3799999952316284,0.8066796660423279,0.8100938200950623,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,0.40000003576278687,0.6000000238418579,0.0,0.0,0.18982729315757751,-27.587238311767578,0.5582166829150006,1.0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,56,1.1049119070012239,frontload,0.6,0.0,0.0,400000,100.0,-23.138463973999023,26.0,0.0,0.0,0.5396485328674316,0.5413464307785034,0.3400000035762787,0.3700000047683716,0.8238748908042908,0.822388231754303,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,0.40000003576278687,0.6000000238418579,0.0,0.0,0.1731768548488617,-26.952774047851562,0.8334908377587887,1.0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,57,1.1061664660010138,frontload,0.6,0.0,0.0,400000,100.0,-25.135953903198242,26.0,0.0,0.0,0.6931371688842773,0.6846427321434021,0.19999998807907104,0.22999998927116394,1.0297359228134155,1.0183048248291016,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,0.40000003576278687,0.6000000238418579,0.0,0.0,0.13994058966636658,-26.581323623657227,0.4292034206028654,0.0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,58,1.1940532360004,frontload,0.6,0.0,0.0,400000,100.0,-24.27544593811035,26.0,0.009999999776482582,0.0,0.519477128982544,0.517256498336792,0.41999998688697815,0.429999977350235,0.7613644003868103,0.7602062821388245,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,0.40000003576278687,0.6000000238418579,0.0,0.0,0.1667788177728653,-26.941591262817383,0.6033682749843594,1.0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,59,1.2098692529998516,frontload,0.6,0.0,0.0,400000,100.0,-24.72610092163086,26.0,0.0,0.0,0.6631412506103516,0.658954381942749,0.1899999976158142,0.17000000178813934,0.9495278596878052,0.9479327201843262,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,0.40000003576278687,0.6000000238418579,0.0,0.0,0.21326319873332977,-28.291427612304688,0.5121567316105253,1.0
