alpha,seed,runtime_sec,mechanism,mechanism_tag,c_upd,z_cut,depr_lambda,depr_nu,depr_psi,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_dbar_post_mean,eval_occupied_post_mean,eval_episodes_per_env,eval_t_eval,final_energy_E_post,final_update_counter,final_funding_g,final_funding_g_raw,final_funding_alpha_eff,final_depr_F_post,final_episode_return_end_mean,final_vartd_VarTD
0.085,40,9.484662699047476,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-24.413454055786133,26.0,0.0,0.5870013236999512,0.28999999165534973,4.0,104.0,0.36204373836517334,12.0,0.12680034339427948,0.12680034339427948,0.07866130024194717,0.15999998152256012,-25.93600845336914,0.19295969605445862
0.085,41,9.479485842050053,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-24.691043853759766,26.0,0.0,0.5392786860466003,0.41999998688697815,4.0,104.0,0.574747622013092,7.0,0.113008052110672,0.113008052110672,0.07189102470874786,0.33999982476234436,-26.992238998413086,0.15835298597812653
0.085,42,9.501049585058354,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-23.93144416809082,26.0,0.019999999552965164,0.49235719442367554,0.44999998807907104,4.0,104.0,0.2794378995895386,18.0,0.15363802015781403,0.15363802015781403,0.08085450530052185,0.10500001162290573,-25.027677536010742,0.4373551607131958
0.085,43,9.493207587045617,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-23.832189559936523,26.0,0.0,0.5906391143798828,0.25999999046325684,4.0,104.0,0.015611069276928902,17.0,0.17864371836185455,0.17864371836185455,0.07614590972661972,0.0,-23.30225372314453,0.33805975317955017
0.085,44,9.499285494093783,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-24.728200912475586,26.0,0.019999999552965164,0.517088770866394,0.3799999952316284,4.0,104.0,0.5110853910446167,20.0,0.16575123369693756,0.16575123369693756,0.07768415659666061,0.1849999576807022,-23.854942321777344,0.636260986328125
0.085,45,9.496938313008286,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-23.344032287597656,26.0,0.0,0.4743294417858124,0.4399999976158142,4.0,104.0,0.5472452044487,16.0,0.15739032626152039,0.15739032626152039,0.07576612383127213,0.2349999099969864,-24.249046325683594,0.33103466033935547
0.085,46,9.48317504604347,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-25.052753448486328,26.0,0.0,0.5377615690231323,0.32999998331069946,4.0,104.0,0.5399895310401917,14.0,0.12969820201396942,0.12969820201396942,0.07557694613933563,0.2399999052286148,-25.516002655029297,0.24207276105880737
0.085,47,9.481615114025772,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-22.926673889160156,26.0,0.009999999776482582,0.4952796399593353,0.3999999761581421,4.0,104.0,0.10009466111660004,10.0,0.11061065644025803,0.11061065644025803,0.08331689238548279,0.044999994337558746,-27.13904571533203,0.17856696248054504
0.085,48,9.476510095992126,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-24.509662628173828,26.0,0.0,0.5236786603927612,0.28999999165534973,4.0,104.0,0.12083220481872559,13.0,0.13634896278381348,0.13634896278381348,0.08331689238548279,0.044999994337558746,-25.123430252075195,0.2024378925561905
0.085,49,9.493739708908834,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-22.601181030273438,26.0,0.0,0.4912993907928467,0.3199999928474426,4.0,104.0,0.4179750382900238,14.0,0.1280684918165207,0.1280684918165207,0.07807355374097824,0.17499996721744537,-25.203018188476562,0.24661995470523834
0.085,50,9.505518271005712,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-23.562238693237305,26.0,0.009999999776482582,0.4827709197998047,0.5099999904632568,4.0,104.0,0.09676335752010345,20.0,0.16639459133148193,0.16639459133148193,0.08394411206245422,0.029999997466802597,-24.457202911376953,0.7107431292533875
0.085,51,9.49878074892331,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-24.317970275878906,26.0,0.0,0.5039956569671631,0.3799999952316284,4.0,104.0,0.26804763078689575,16.0,0.13899445533752441,0.13899445533752441,0.080652616918087,0.11000001430511475,-25.77758026123047,0.3636411130428314
0.085,52,9.496639059041627,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-23.10515594482422,26.0,0.0,0.48223504424095154,0.3799999952316284,4.0,104.0,0.2638038396835327,19.0,0.15293140709400177,0.15293140709400177,0.08085450530052185,0.10500001162290573,-24.659202575683594,0.558523952960968
0.085,53,9.51001766207628,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-23.596826553344727,26.0,0.0,0.5152431130409241,0.3999999761581421,4.0,104.0,0.25741150975227356,23.0,0.1434047520160675,0.1434047520160675,0.08146318793296814,0.09000000357627869,-25.464595794677734,0.9569460153579712
0.085,54,9.492422700044699,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-21.841899871826172,26.0,0.0,0.4654003977775574,0.41999998688697815,4.0,104.0,0.4205223321914673,13.0,0.1411200761795044,0.1411200761795044,0.07768415659666061,0.1849999576807022,-24.964820861816406,0.22741536796092987
0.085,55,9.498662121011876,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-23.521024703979492,26.0,0.0,0.4812162518501282,0.4099999964237213,4.0,104.0,0.20015355944633484,19.0,0.15560193359851837,0.15560193359851837,0.08228190243244171,0.06999999284744263,-24.53364372253418,0.5052714943885803
0.085,56,9.498896969016641,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-23.577789306640625,26.0,0.0,0.48635727167129517,0.3400000035762787,4.0,104.0,0.09178753942251205,19.0,0.1439138799905777,0.1439138799905777,0.08394411206245422,0.029999997466802597,-25.02887535095215,0.5020092725753784
0.085,57,9.490218139952049,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-22.621240615844727,26.0,0.0,0.4994339644908905,0.5,4.0,104.0,0.37879452109336853,15.0,0.1270415037870407,0.1270415037870407,0.07846489548683167,0.16499997675418854,-25.49863052368164,0.2664550244808197
0.085,58,9.501500754035078,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-23.685123443603516,26.0,0.009999999776482582,0.4853723645210266,0.3100000023841858,4.0,104.0,0.21955440938472748,20.0,0.15946342051029205,0.15946342051029205,0.08207646012306213,0.07499999552965164,-24.449676513671875,0.603633463382721
0.085,59,9.482301974087022,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-24.86655044555664,26.0,0.0,0.5064228773117065,0.23999999463558197,4.0,104.0,0.525662362575531,13.0,0.14542824029922485,0.14542824029922485,0.07633650302886963,0.21999992430210114,-24.81354331970215,0.2063898742198944
0.085,60,9.466200530994684,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-27.6390380859375,26.0,0.0,0.8100287914276123,0.11999999731779099,4.0,104.0,0.4525764286518097,2.0,0.0,0.09656795859336853,0.011823981069028378,3.950042963027954,-26.856088638305664,0.14708015322685242
0.085,61,9.482360619003884,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-24.13638687133789,26.0,0.0,0.48698899149894714,0.3700000047683716,4.0,104.0,0.11582423746585846,14.0,0.13821355998516083,0.13821355998516083,0.08331689238548279,0.044999994337558746,-24.96742820739746,0.22732798755168915
